g0_over_y0,threshold,conv_distress,prod_distress,hybrid_distress,conv_cost,prod_cost
0.3,0.12,0.1685,0.903,0.9715,0.515005848997228,0.5023245921882975
0.3,0.13,0.0205,0.8465,0.948,0.515005848997228,0.5023245921882975
0.3,0.14,0.003,0.7815,0.9195,0.515005848997228,0.5023245921882975
0.3,0.15,0.0,0.7055,0.877,0.515005848997228,0.5023245921882975
0.3,0.16,0.0,0.615,0.8165,0.515005848997228,0.5023245921882975
0.3,0.18,0.0,0.437,0.6605,0.515005848997228,0.5023245921882975
0.31,0.12,0.1685,0.903,0.9715,0.515005848997228,0.5023245921882975
0.31,0.13,0.0205,0.8465,0.948,0.515005848997228,0.5023245921882975
0.31,0.14,0.003,0.7815,0.9195,0.515005848997228,0.5023245921882975
0.31,0.15,0.0,0.7055,0.877,0.515005848997228,0.5023245921882975
0.31,0.16,0.0,0.615,0.8165,0.515005848997228,0.5023245921882975
0.31,0.18,0.0,0.437,0.6605,0.515005848997228,0.5023245921882975
0.32,0.12,0.1685,0.903,0.9715,0.515005848997228,0.5023245921882975
0.32,0.13,0.0205,0.8465,0.948,0.515005848997228,0.5023245921882975
0.32,0.14,0.003,0.7815,0.9195,0.515005848997228,0.5023245921882975
0.32,0.15,0.0,0.7055,0.877,0.515005848997228,0.5023245921882975
0.32,0.16,0.0,0.615,0.8165,0.515005848997228,0.5023245921882975
0.32,0.18,0.0,0.437,0.6605,0.515005848997228,0.5023245921882975
0.33,0.12,0.1685,0.903,0.9715,0.515005848997228,0.5023245921882975
0.33,0.13,0.0205,0.8465,0.948,0.515005848997228,0.5023245921882975
0.33,0.14,0.003,0.7815,0.9195,0.515005848997228,0.5023245921882975
0.33,0.15,0.0,0.7055,0.877,0.515005848997228,0.5023245921882975
0.33,0.16,0.0,0.615,0.8165,0.515005848997228,0.5023245921882975
0.33,0.18,0.0,0.437,0.6605,0.515005848997228,0.5023245921882975
0.34,0.12,0.1685,0.903,0.9715,0.515005848997228,0.5023245921882975
0.34,0.13,0.0205,0.8465,0.948,0.515005848997228,0.5023245921882975
0.34,0.14,0.003,0.7815,0.9195,0.515005848997228,0.5023245921882975
0.34,0.15,0.0,0.7055,0.877,0.515005848997228,0.5023245921882975
0.34,0.16,0.0,0.615,0.8165,0.515005848997228,0.5023245921882975
0.34,0.18,0.0,0.437,0.6605,0.515005848997228,0.5023245921882975
0.35,0.12,0.1685,0.903,0.9715,0.515005848997228,0.5023245921882975
0.35,0.13,0.0205,0.8465,0.948,0.515005848997228,0.5023245921882975
0.35,0.14,0.003,0.7815,0.9195,0.515005848997228,0.5023245921882975
0.35,0.15,0.0,0.7055,0.877,0.515005848997228,0.5023245921882975
0.35,0.16,0.0,0.615,0.8165,0.515005848997228,0.5023245921882975
0.35,0.18,0.0,0.437,0.6605,0.515005848997228,0.5023245921882975
0.36,0.12,0.1685,0.903,0.9715,0.515005848997228,0.5023245921882975
0.36,0.13,0.0205,0.8465,0.948,0.515005848997228,0.5023245921882975
0.36,0.14,0.003,0.7815,0.9195,0.515005848997228,0.5023245921882975
0.36,0.15,0.0,0.7055,0.877,0.515005848997228,0.5023245921882975
0.36,0.16,0.0,0.615,0.8165,0.515005848997228,0.5023245921882975
0.36,0.18,0.0,0.437,0.6605,0.515005848997228,0.5023245921882975
